穆赫兰道,Mulholland Dr.,2001/5/16,8.3,第74届奥斯卡金像奖-最佳导演(提名)/第54届戛纳电影节-主竞赛单元 金棕榈奖(提名)/第2届美国电影学会奖-年度佳片, 法国 / 美国,剧情/悬疑/惊悚,大卫·林奇,娜奥米·沃茨/劳拉·哈灵/安·米勒/贾斯汀·塞洛克斯, 英语 / 西班牙语,深夜的穆赫兰道发生一桩车祸，女子丽塔（劳拉·赫利LauraHarring饰）在车祸中失了忆。她跌跌撞撞来到一个公寓里藏身。一名男子说他常常梦见一个叫云奇的地方，那里有个恶魔盯着他。于是就来到云奇，果真见到墙后有怪物出现，男子当场晕死。另有一名杀手杀死了他面前的男人，然而蹩脚的他却惹来了不少一连串的麻烦。故事回到一个刚到好莱坞“寻梦”的女子贝蒂（娜奥米·沃茨NaomiWatts饰），她的姨父姨母在电影圈有广泛人缘，让贝蒂的发展如虎添翼，试镜大受好评。同时，她所住的公寓，正好是丽塔藏身之地。贝蒂收留了丽塔，二人感情融洽。面对记不起自己是谁的丽塔，贝蒂决定帮助她寻找回自己的记忆。一名导演想自己决定新戏的女主角，却被他人强行安排人选。工作不顺意的他还发现妻子和清洁工睡在一起。这些看似松散的事件，就像一个迷宫，引向一个让人猜不透的世界…...(展开全部),逻辑特别清楚的人能拍出来让人捋不清逻辑的电影而且不解释/你要不想太后怕，就别总是回想其中的情节/初级评：时间是个圈，空间是个圈，圈即无限。中级评：点线交集，元素启示，大即小小即大，宇宙奥秘。高级评：（...)).(..).)..,,
源代码,Source Code,2011/8/30,8.3,第2届豆瓣电影鑫像奖-鑫豆单元 最佳影片(外语)(提名)/第2届豆瓣电影鑫像奖-鑫豆单元 最佳导演(外语)(提名), 美国 / 加拿大,科幻/悬疑/惊悚,邓肯·琼斯,杰克·吉伦哈尔/维拉·法米加/米歇尔·莫纳汉/杰弗里·怀特, 英语,在阿富汗执行任务的美国空军飞行员科特史蒂文斯上尉（杰克·吉伦哈尔JakeGyllenhaal饰）突然惊醒，发现自己在一辆高速行驶的列车上，而他的身边坐着一个素不相识的女子克里斯蒂安（米歇尔·莫娜汉MichelleMonaghan饰）正在与自己讲话。科尔不知自己为什么会在这辆车上，而且他发现自己居然是以另一个人的身份存在，正当他迷惑不解的时候，列车上忽然发生爆炸……科特又一次惊醒，发现自己身处一个密闭的太空仓里，有一位女军官古德温（维拉·法米加VeraFarmiga饰）正在通过视频和自己对话，并要求自己报告列车上发生的事情。一头雾水的科特还没搞明白是怎么回事时，他又一次被送上那辆列车。这次之后，科特终于明白自己在执行一件任务，负责调察芝加哥火车爆炸案找到恐怖份子并查出他的下一个目标。科特被一次又一次的送上那辆高速列车，每次只有八分钟...(展开全部),後面有延續的結局才是perfect！！！而不是傻逼的在那個kiss的時候結束！/还好结局不是停在最后那一吻上，否则我给不了五颗星。希望在美好时停住，其实是内心脆弱的表现。从美好开始，延续下去，才饱含未来充满的坚强和希望的力量。谁的人生没有遗憾？但你要相信，在另一个世界，那些遗憾会被弥补。/太憋屈了，不是太空舱就是火车厢，幸好他最后出去了，要不得憋死我,,
国王的演讲,The King's Speech,2012/2/24,8.3,第83届奥斯卡金像奖-最佳影片/第68届金球奖-电影类 最佳剧情片(提名)/第24届欧洲电影奖-观众选择奖, 英国 / 澳大利亚 / 美国,剧情/传记/历史,汤姆·霍珀,科林·费尔斯/杰弗里·拉什/海伦娜·伯翰·卡特/盖·皮尔斯, 英语,约克郡公爵（柯林·菲尔斯ColinFirth饰）因患口吃，无法在公众面前发表演讲，这令他接连在大型仪式上丢丑。贤惠妻子伊丽莎白（海伦娜·邦汉·卡特HelenaBonhamCarter饰）为了帮助丈夫，到处寻访名医，但是传统的方法总不奏效。一次偶然的机会，她慕名来到了语言治疗师莱纳尔罗格（杰弗里·拉什GeoffreyRush饰）的宅邸，传说他的方式与众不同。虽然公爵对罗格稀奇古怪的招法并不感兴趣，首次诊疗也不欢而散。但是，公爵发现在聆听音乐时自己朗读莎翁竟然十分流利。这让他开始信任罗格，配合治疗，慢慢克服着心理的障碍。乔治五世驾崩，爱德华八世继承王位，却为了迎娶寡妇辛普森夫人不惜退位。艾伯特临危受命，成为了乔治六世。他面临的最大挑战就是如何在二战前发表鼓舞人心的演讲……,这不是国王的演讲，是国王的演技/演员的演出无可挑剔，这是一部很典型的英式电影，但也正因此而失于创新，变成了一种在镜头、剪辑、台词、画面上追求精细的工作。这部电影不能给我任何切实的感动，整个故事情节可简单归纳为：怎样治疗结巴然后作为弟弟继承王位。但是请注意，这部片子因为其本身的传记性质，很合近几年学院奖的一贯口味/@CharlesRosen说：这里面有：莫扎特费加罗婚礼前奏曲，单簧管协奏曲第二乐章，贝多芬皇帝钢琴协奏曲第二乐章，第七交响曲第二乐章，（还据说有）勃拉姆斯安魂曲。当国王做完演讲，在阳台上面对民众的时候，背景音乐是皇帝钢协（！！！）,,
蓝色大门,藍色大門,2002/9/27,8.3,第23届香港电影金像奖-最佳亚洲电影(提名)/第15届东京国际电影节-主竞赛单元 最佳影片(提名), 台湾 / 法国,剧情/爱情/同性,易智言,陈柏霖/桂纶镁/梁又琳/仇政, 汉语普通话,高中生孟克柔（桂纶镁饰）与林月珍（梁淑慧饰）是无话不谈的好友，月珍告诉克柔，说自己喜欢上了一个叫张士豪（陈柏霖饰）的男生，便常常要求克柔帮她接近张士豪，帮忙认识他、帮忙传递情书。没想到张士豪以为喜欢自己的是孟克柔，所以也常常借故接近她，跟她在一起。传递情书的事，被张贴出来，原来林月珍是以孟克柔的名义给张士豪写信，孟克柔非常生气而从而跟林月珍的关系疏远了。另一边厢孟克柔极不愿意承认她与张士豪之间是恋人的关系，可是张士豪已深深喜欢上她。孟克柔想跟男生接吻，因为她想清楚一件事，原来她心里，喜欢的是另外一个人。,最後一段对白挽救了整部电影……至少我是这么觉得……/一个女生喜欢男生，却让喜欢着她的小T帮忙追男生，结果男生爱上小T，小T变直的故事/像张士豪那样的男生是每个女生都喜欢过的吧，高高帅帅的，打篮球，骑山地车，笑起来很阳光，但那时候一般都不会有勇气去争取的啊，等到已经长成大人已经满怀勇气了的现在，那样的男生就没有了。,,
秒速5厘米,秒速5センチメートル,2007/3/3,8.3,暂无, 日本,剧情/爱情/动画,新海诚,水桥研二/近藤好美 /尾上绫华/花村怜美, 日语,如果，樱花掉落的速度是每秒5厘米，那么两颗心需要多久才能靠近？少年时，贵树（水橋研二配）和明理（近藤好美配）是形影不离的好朋友，可很快，一道巨大的鸿沟便横亘在两人中间：明理转学，贵树也随着父母工作的调动搬到遥远的鹿儿岛。在搬家前，贵树乘坐新干线千里迢迢和明理相会，在漫长的等待后，茫茫大雪中，两人在枯萎的樱花树下深情相拥，并献出彼此的firstkiss，约定着下一次再一起来看樱花。时光荏苒，两人竟再没见过，虽然在人海中一直搜寻彼此的身影，但似乎总是徒然。再后来，他们分别有了各自的生活，只是还偶尔会梦到13岁时的这段青涩而美好的感情，才明白当年怎么也说不出口的那个字就是爱。,好多壁纸……/总是看着身后比你更远的地方。不知不觉那就成了我们的距离。可即使我只看着你，你也变成那些距离我越来越远的事。/青春就是放弃和怀念,,
疯狂的石头,暂无,2006/6/30,8.3,第43届台北金马影展-金马奖 最佳剧情片(提名)/第26届香港电影金像奖-最佳亚洲电影(提名)/第29届大众电影百花奖-最佳故事片(提名), 中国大陆 / 香港,喜剧/犯罪,宁浩,郭涛/刘桦/连晋/黄渤, 汉语普通话 / 重庆话,重庆一间工艺品厂已经濒临倒闭，却不料在拆倒旧厂房的时候，发现了厕所里的一件宝物——一块价值连城的翡翠。厂里决定用这块翡翠举办一个展览，赚些钱发拖欠了几个月的工人工资。期间由工艺品厂保卫科长包世宏（郭涛饰）负责看守这件宝物。但是，国际大盗麦克与本地一帮小偷却让包世宏一筹莫展，他们各施其技接近翡翠，展览馆开始了一场明争暗斗的较量。黑色幽默也开始幕幕上演。翡翠的价值几何？最后谁是胜出者？事情远没有表面那么简单……,难怪老外会看不懂。重庆话版太接地气啊，简直笑死爹了～～～～～～～～/中国的盖里奇风格/有技巧的娱乐片,,
发条橙,A Clockwork Orange,1971/12/19,8.4,第44届奥斯卡金像奖-最佳影片(提名)/第44届奥斯卡金像奖-最佳导演(提名)/第33届威尼斯电影节-帕西内蒂奖 最佳外国电影, 英国 / 美国,剧情/科幻/犯罪,斯坦利·库布里克,马尔科姆·麦克道威尔/帕特里克·马基/迈克尔·贝茨/沃伦·克拉克, 英语,阿利斯（马尔科姆·麦克道尔）是一位无恶不作的少年，他的特殊喜好是边听贝多芬的交响曲边奸淫女性，某次他进入一所别墅抢劫一番后，打残了该别墅的主人——一名小说家，并用特殊喜好蹂躏了其妻子。后来因为杀了一名单身女子，阿利斯入狱并接受了特殊的人格治疗，出狱后，他对淫乐之事产生彻底的厌倦。但当阿利斯回到家时，周围人群没改变对他的旧看法，在种种歧视的重压下，他跑到郊外一所别墅想喘口气，不想这所别墅正是他以前抢劫过的小说家的那所。而作为反政府组织首领的该小说家为了达到某种目的，软禁了阿利斯。当这件事暴露小说家被捕时，其手下为了对抗政府，扬言要把阿利斯恢复原来的性情，完全不理一旁的阿利斯大叫“我完全好了”。,人是神魔一体的动物没有善的是畜生只有善的也只是怪物。/我也想买那个瓷的大JJ/人性本恶，不要太凶残，也不能太软弱。社会体制本身就是反人性的，被利用的。,,
彗星来的那一夜,Coherence,2013/9/19,8.4,第24届哥谭独立电影奖-独立电影人奖(提名)/第1届豆瓣电影年度榜单-10月最受关注电影(提名)/第5届豆瓣电影鑫像奖-鑫豆单元 最佳影片(外语)(提名), 美国 / 英国,科幻/悬疑/惊悚,詹姆斯·沃德·布柯特,艾米丽·芭尔多尼/莫瑞·史特林/尼古拉斯·布兰登/劳伦·斯卡法莉娅, 英语,在一个静得有些诡异阴森的夜晚，年轻女子艾米丽（艾米丽·芭尔多尼EmilyBaldoni饰）驱车来到朋友家参加聚会。此前她一边开车一边和男友打电话，然而通话突然中断，她的手机屏也莫名其妙出现裂痕。这一事件让艾米丽的心中升起隐隐不安，因为当晚一颗彗星刚好接近地球，一个很久之前听过的传说使她对彗星的到来有着不祥的预感。稍后，朋友们落座，大家彼此交谈，叙说近况，虽然言语中有着许多莫名其妙、蹊跷反常的线索，然而均被一带而过。突然间，灯光尽灭。当光明重新来临时，众人发现附近只有一户人家还在亮灯，而亮灯人家里坐着的竟是……本片荣获2014年阿姆斯特丹奇幻电影节黑郁金香奖。,没觉得有什么“烧脑”的，有的只是人类共享的对未知维度的震撼和恐惧。结尾毫无防备地从科幻硬是升华出了人性。强烈推荐这部画面烂到不如DV短片却出奇有力的作品。/平行时空不稀奇，神奇的是各路平行时空的交汇之后混乱的生活，看完真的有点恐怖。★★★★☆/真·烧脑，认真看了两遍。第二遍主要注意一些细节，杯子啊衣服扣子啊还有走错门二人组拿箱子跑的时候塞进去的隔热手套……最后总结，如果以女主视角来看，到她落单遇上伪老公吓回屋子往后，身边已经没有一个是最早跟着出来的那拨人了，一个觉得自己被全世界抛弃的人其实做出什么来都不奇怪啦,,
变脸,Face/Off,1997/6/27,8.4,第70届奥斯卡金像奖-最佳音效剪辑(提名), 美国,动作/科幻/惊悚/犯罪,吴宇森,约翰·特拉沃尔塔/尼古拉斯·凯奇/琼·艾伦/亚历桑德罗·尼沃拉, 英语 / 拉丁语,凯斯特（尼古拉斯·凯奇NicolasCage饰）是一个恐怖分子，他本想杀死探员西恩（约翰·特拉沃塔JohnTravolta饰），却误杀了西恩的儿子，西恩更与凯斯特结下不共戴天之仇。在逮捕凯斯特归案之后，他以为可以划上句号，却得知凯斯特已经把一枚毒气炸弹投放在某个人群密集的角落。为了查出炸弹地点，西恩决定利用整形手术，将昏迷中的凯斯特的脸换在自己身上，去假扮凯斯特身份套出他弟弟说出真相。这件事属于FBI高度机密，只有寥寥几人知情。凯斯特醒来，此时他有着西恩的面相。于是他决定将计就计，将知情人杀掉之后，他就变成了西恩……,原来是吴宇森作品，看的时候还奇怪外国人是怎么想出这个复杂的事情的，而且还能看到《英雄本色》和《喋血双雄》的影子。。。/还我脸来！～变脸的要领就在于：首先要做到不要脸/看过7遍……,,
无耻混蛋,Inglourious Basterds,2009/8/20,8.4,第82届奥斯卡金像奖-最佳影片(提名)/第62届戛纳电影节-主竞赛单元 金棕榈奖(提名)/第67届金球奖-电影类 最佳剧情片(提名), 美国 / 德国,剧情/犯罪,昆汀·塔伦蒂诺,布拉德·皮特/梅拉尼·罗兰/克里斯托弗·沃尔兹/伊莱·罗斯, 英语 / 德语 / 法语 / 意大利语,故事分五章进行。二战中德占法国，德军上校汉斯（克里斯托弗·瓦尔兹ChristophWaltz饰）号称“犹太猎人”，在一次屠犹行动中，少女苏珊娜（梅勒尼·劳伦特MélanieLaurent饰）侥幸逃脱。与此同时，八名美国犹太士兵在中尉奥尔多（布拉德·皮特饰）的带领下潜入德占法国刺杀德国军人，其行动神出鬼没，手法残忍，对德军造成相当威胁，被称为“杂种”。三年后苏珊娜来到巴黎继承了姑母的电影院，结识了德国战斗英雄，电影《国家荣耀》的主演弗里德里克（丹尼尔·布鲁赫DanielBrühl饰）。对苏珊娜一见钟情的弗里德里克说服德国宣传部长约瑟夫·戈培尔（西尔维斯特·格洛斯SylvesterGroth饰）在苏珊娜的影院首映《国家荣耀》，希特勒（马丁·乌特克MartinWuttke饰）本人也将出席。苏珊娜决定借放映之机烧毁影院；而在...(展开全部),我只有一点不理解：影院老板最后在电影上的那段宣言，可以是法语也可以是德语，它怎么会是英语呢。。。。/你们都傻B了吗？没有判断能力了吗？这么一部血肉横飞、剧情猜都猜的出来的商业片值得被膜拜成这样吗？只是因为昆丁的名字吗？/昆汀的恋足癖还是藏不住啊。,,
